PersonID	FullName	ShortName	InstitutionID
100369	Aalto, Kathryn	kAalto	
100370	Aaron, Ernie	eAaron	SIO
105319	Abbot, April	aAbbot	OSU
102077	Abernethy, Arreana	aAbernethy	UW
105209	Abraham, Bruce	bAbraham	APSC
104209	Adams, Alex	aAdams	
103597	Adams, Elizabeth	eAdams	USCG
104137	Adams, Kate	kAdams	OSU
101307	Adams, Nicolaus	nAdams	NWFSC
100371	Adamson, Rodger	rAdamson	CSSF
100217	Adkins, Jess	jAdkins	Caltech
100372	Agee, Casey	cAgee	WHOI
103626	Aghaei, Omid	oAghaei	Dalhousie
103627	Aguilar, Elliot	eAguilar	LDEO
100373	Aguilar-Islas, Ana	aAguilarIslas	UAF
102041	Ahana-Jamile, Taylor	tAhanaJamile	UW
101997	A'hearn, Patrick	pAhearn	UW
107659	Ahern, John	jAhern	LUMCON
100374	Ahlert, Allison	aAhlert	UW
102909	Akerman, Nancy	nAkerman	MBL
105546	Akmajian, Adrianne	aAkmajian	WDFW
102492	Alatalo, Philip	pAlatalo	WHOI
105547	Alatorre Gutierrez, Rodolfo	gAlatorr	
103240	Albert, Lisette	lAlbert	UW
105507	Albright, Andrew	aAlbright	OSU
100311	Alexander, Clark	cAlexander	SkIO
100375	Alford, Marianne	mAlford2	LSU
101370	Alford, Matthew	mAlford	UW-APL
100376	Alin, Simone	sAlin	PMEL
105320	Alleau, Yvan	yAlleau	OSU
100377	Allen, Andrew	aAllen	Venter
103201	Allen, Daniel	dAllen	UW
104971	Allen, Jami	jAllen	RPS
104812	Allen, Richard	rAllen	Berkeley
102493	Allison, John	jAllison	UCAR
101480	Allison, Mead	mAllison	UTIG
102638	Allison, Rachel	rAllison	WWU
104972	Allstadt, Kate	kAllstadt	UW
104238	Alpizar, Evelyn Nunez	eAlpizar	UNA
101669	Altabet, Mark	mAltabet	UMass Dartmouth
104786	Althouse, Thomas	tAlthouse	SIO
102285	Alvarado, Stephen	sAlvarado	UW
100378	Amundson, Casey	cAmundson	UW
100379	Anagnostou, Eleni	eAnagnostou	Rutgers
100380	Anantharaman, Karthik	kAnantharaman	Michigan
103298	Anctil, Dustin	dAnctil	UW
104766	Anderson, David	dAnderson2	SIO
101683	Anderson, Donald	dAnderson	WHOI
100381	Anderson, Eric	eAnderson	UTIG
100382	Anderson, Hilary	hAnderson	NSCC
100383	Anderson, Ryan	rAnderson	UW
101973	Anderson, Terrence	tAnderson	UW
102910	Angermeyer, Angus	aAngermeyer	MBL
100384	Angus, Hester	hAngus	UW
104974	Anthony, Robert	rAnthony	NMT
103859	Antochiw, Diana	dAntochiw	
100308	Appelgate, Bruce	bAppelgate	SIO
103102	Apsens, Sarah	sApsens	UW
107762	Arai, Ryuta	rArai,	Hawaii
103241	Araki, Laura	lAraki	UW
103629	Araragi, Kohtaro	kAraragi	Oregon
100385	Archer, Jessica	jArcher	WaDoE
103630	Ardai, Jose	jArdai	LDEO
100241	Arko, Robert	rArko	LDEO
103632	Armada, Leo	lArmada	UP
100386	Armbrust, Elizabeth	eArmbrust	UW
102078	Armintrout, Katherine	kArmintrout	UW
102114	Armitage, Shannon	sArmitage	UW
100317	Armstrong, Andrew	aArmstrong	CCOM
104975	Arnesen, Erik	eArnesen	OSU
100388	Arnold, Lee	lArnold	Hawaii
101469	Arrigo, Kevin	kArrigo	Stanford
102494	Arrington, Julie	jArrington	OSU
105202	Arsenault, Arthur	aArsenault	Northrop Grumman
100389	Arthur, Marina	mArthur	UW
105551	Asefew, Hanna	hAsefew	Columbia
105552	Ashaari, Shahpour	sAshaari	
104606	Asher, William	wAsher	UW-APL
100290	Ashjian, Carin	cAshjian	WHOI
102312	Ashley, Marty	mAshley	
100390	Ashworth, Sarah	sAshworth	LGL
101481	Asper, Vernon	vAsper	USM
102115	Atakturk, Katelyn	kAtakturk	UW
100391	Aubery, Sara	sAubery	SIO
102402	Aubin, Janet	jAubin	
100325	Aucan, Jerome	jAucan	BIOS
104346	Auffret, Yves-Alfred	yAuffret	IFREMER
100392	Auger, Vincent	vAuger	CSSF
100393	Auro, Maureen	mAuro	SFSU
100243	Austin, James	jAustin	LDEO
102116	Austin, Janae	jAustin3	UW
101595	Austin, Jay	jAustin2	UMD
103633	Austin, Regan	rAustin	Hawaii
104976	Aveoganna, Reynold	rAveoganna	UIC
100394	Avery, Chris	cAvery	Queen's
105556	Babbin, Andrew	aBabbin	
100136	Babb, Ivar	iBabb	U.Conn
101533	Babcock, Jeffrey	jBabcock	SIO
100395	Babson, Amanda	aBabson	UW
104830	Bacheler, Nathan	nBacheler	SEFSC
104795	Bach, Wolfgang	wBach	MARUM
100396	Bacon, Micaela	mBacon	UW
100099	Bacon, Michael	mBacon2	WHOI
100194	Badiey, Mohsen	mBadiey	Delaware
103634	Badilla, Maikol	mBadilla	NCS SubSea
100397	Baer, Steven	sBaer	UMass Boston
100104	Baggeroer, Arthur	aBaggeroer	MIT
100398	Bahng, Bohyun	bBahng	UW
100151	Bahr, Frank	fBahr	WHOI
101367	Bahtiarian, Michael	mBahtiarian	NCE
100399	Bailey, April	aBailey	UW
100100	Bailey, Craig	cBailey	PMEL
102495	Bailey, Jennifer	jBailey	URI
100400	Bailey, John	jBailey2	WHOI
103242	Bajaj, Aakash	aBajaj	UW
102042	Bajorek, Joan	jBajorek	UW
101292	Baker, Edward	eBaker	PMEL
100401	Baker, Kristen	kBaker	UW
101771	Baker, Paul	pBaker	Duke
104719	Balch, William	wBalch	BLOS
102287	Baldwin, Mara	mBaldwin	UW
104690	Baldwin, Wayne	wBaldwin	USGS
100135	Ballard, Robert	rBallard	IFE
104977	Ball, Justin	jBall	Colorado
105181	Ball, Keenan	kBall	WHOI
103065	Ballou, Garrett	gBallou	UW
105557	Banahan, Susan	sBanahan	
104116	Bandolin, Nirzwan	nBandolin	OHSU
100402	Bandyk, Piotr	pBandyk	Michigan
100216	Bangs, Nathan	nBangs	UTIG
102445	Bantam, Cory	cBantam	UW
100160	Baptista, Antonio	aBaptista	OHSU
104239	Baracco, Agnese Munoz	aBaracco	ICM
104978	Barak, Shahar	sBarak	Stanford
104979	Barcheck, Catherine	cBarcheck	WUSTL
103636	Barclay, Andrew	aBarclay	LDEO
101441	Barclay, David	dBarclay	SIO
101448	Baringer, Molly	mBaringer	AOML
103637	Barker, Adam	aBarker	UW
104980	Barker, Beatrice	bBarker	MIT
105559	Barletto, Peter	pBarletto	
100403	Barlow, Daniel	dBarlow	JHU
105560	Barone, Jennifer	jBarone	
101324	Baross, John	jBaross	UW
104226	Barrantes, Luis	lBarrantes	LDEO
102117	Barrett, Allison	aBarrett	UW
103243	Barr, Samuel	sBarr	UW
100404	Bartan, Cory	cBartan	UW
104307	Barth, Ginger	gBarth	USGS
101372	Barth, Jack	jBarth	OSU
100405	Barth, Michael	mBarth	Subsea
105323	Bartlett, Adam	aBartlett	Dalhousie
100406	Bartlett, Chuck	cBartlett	USCG
105203	Bartlett, Douglas	dBartlett	SIO
100407	Bartlett, Kevin	kBartlett	Victoria
100408	Bassin, Corinne	cBassin	UW
104943	Bates, Nicholas	nBates	BIOS
101474	Bates, Timothy	tBates	PMEL
100354	Batiza, Rodey	rBatiza	NSF
101314	Battin, Richard Jr.	rBattin	UW
102709	Bauer, Ann	aBauer	UW
100176	Bauer, James	jBauer	VIMS
101305	Baugh, Keri	kBaugh	NWFSC
102496	Baumann, Matthew	mBaumann	URI
100409	Baumberger, Tamara	tBaumberger	ETH
107662	Baumgartner, Mark	mBaumgartner	WHOI
101445	Baxley, William	wBaxley	Seaward
103598	Bayer, Stephen	sBayer	UW
100410	Beaird, Nicholas	nBeaird	UW
100411	Beall, Benjamin	bBeall	Western
101735	Beal, Lisa	lBeal	Miami
105562	Beard, Robert	rBeard	
105563	Beattey, Sun-Li	sBeattey	
100412	Beaudin, Gabrielle	gBeaudin	UW
102969	Beaudoin, Jonathan	jBeaudoin	CCOM
